SRR,SampleName
SRR1972765,SRS908631
SRR1972766,SRS908624
SRR1972767,SRS908622
SRR1972768,SRS908623
SRR1972769,SRS908621
SRR1972770,SRS908620
SRR1972771,SRS908619
SRR1972772,SRS908618
SRR1972773,SRS908617
SRR1972774,SRS908616
SRR1972775,SRS908614
SRR1735215,SRS803996
SRR1972776,SRS908615
SRR1972777,SRS908613
SRR1972778,SRS908612
SRR1972779,SRS908611
SRR1972780,SRS908610
SRR1972781,SRS908609
SRR1972782,SRS908608
SRR1972783,SRS908607
SRR1972784,SRS908606
SRR1972785,SRS908605
SRR1972786,SRS908604
SRR1972787,SRS908602
SRR1972788,SRS908603
SRR1972789,SRS908601
SRR1972790,SRS908600
SRR1972791,SRS908598
SRR1972792,SRS908599
SRR1972793,SRS908596
SRR1972794,SRS908597
SRR1972795,SRS908595
SRR1972796,SRS908594
SRR1972797,SRS908593
SRR1972798,SRS908592
SRR1972799,SRS908591
SRR1972800,SRS908590
SRR1735007,SRS803787
SRR1735094,SRS803875
SRR1735020,SRS803800
SRR1735123,SRS803903
SRR1972801,SRS908589
SRR1735000,SRS803780
SRR1734991,SRS803771
SRR1735230,SRS804010
SRR1735229,SRS804009
SRR1735041,SRS803822
SRR1972802,SRS803822
SRR1735099,SRS803887
SRR1735129,SRS803909
SRR1735164,SRS803944
SRR1972803,SRS803944
SRR1735185,SRS803965
SRR1735204,SRS803984
SRR1735214,SRS803994
SRR1972804,SRS803994
SRR1972805,SRS803950
SRR1735170,SRS803950
SRR1735176,SRS803955
SRR1735115,SRS803895
SRR1735042,SRS803821
SRR1735038,SRS803819
SRR1972806,SRS803819
SRR1735137,SRS803917
SRR1735258,SRS804038
SRR1972807,SRS804038
SRR1735026,SRS803806
SRR1735004,SRS803784
SRR1972808,SRS803784
SRR1735110,SRS803888
SRR1735043,SRS803823
SRR1735085,SRS803864
SRR1972809,SRS803864
SRR1735247,SRS804026
SRR1735228,SRS804008
SRR1735237,SRS804017
SRR1972810,SRS804017
SRR1735209,SRS803989
SRR1972811,SRS803783
SRR1735003,SRS803783
SRR1735254,SRS804035
SRR1735111,SRS803891
SRR1972812,SRS803891
SRR1735049,SRS803829
SRR1735226,SRS804007
SRR1735186,SRS803966
SRR1735132,SRS803912
SRR1734999,SRS803779
SRR1735255,SRS804033
SRR1972813,SRS908588
SRR1735162,SRS803943
SRR1735154,SRS803934
SRR1972814,SRS908587
SRR1972815,SRS908586
SRR1735096,SRS803876
SRR1735223,SRS804003
SRR1972816,SRS803816
SRR1735036,SRS803816
SRR1735061,SRS803839
SRR1972817,SRS804001
SRR1735222,SRS804001
SRR1735136,SRS803916
SRR1972818,SRS803916
SRR1735188,SRS803968
SRR1735155,SRS803935
SRR1735260,SRS804040
SRR1735217,SRS803997
SRR1972819,SRS803825
SRR1735045,SRS803825
SRR1735065,SRS803845
SRR1972820,SRS803937
SRR1735157,SRS803937
SRR1735125,SRS803906
SRR1735216,SRS803995
SRR1735147,SRS803926
SRR1735141,SRS803921
SRR1972821,SRS803802
SRR1735022,SRS803802
SRR1972822,SRS803871
SRR1735090,SRS803871
SRR1972823,SRS803859
SRR1735077,SRS803859
SRR1735238,SRS804018
SRR1735245,SRS804025
SRR1972824,SRS804025
SRR1972825,SRS804042
SRR1735262,SRS804042
SRR1735220,SRS804000
SRR1735143,SRS803923
SRR1972826,SRS803923
SRR1735135,SRS803914
SRR1972827,SRS803769
SRR1734989,SRS803769
SRR1972828,SRS908585
SRR1972829,SRS908584
SRR1972830,SRS908583
SRR1735133,SRS803913
SRR1972831,SRS908582
SRR1972832,SRS908581
SRR1735074,SRS803854
SRR1735037,SRS803817
SRR1735029,SRS803808
SRR1972833,SRS803808
SRR1972834,SRS803843
SRR1735064,SRS803843
SRR1972835,SRS803988
SRR1735208,SRS803988
SRR1735219,SRS803999
SRR1735078,SRS803857
SRR1735032,SRS803812
SRR1972836,SRS803812
SRR1735119,SRS803898
SRR1735171,SRS803951
SRR1972837,SRS803951
SRR1972838,SRS803867
SRR1735087,SRS803867
SRR1735098,SRS803878
SRR1735030,SRS803810
SRR1735069,SRS803850
SRR1972839,SRS908580
SRR1972840,SRS908579
SRR1972841,SRS804021
SRR1735241,SRS804021
SRR1734998,SRS803778
SRR1735253,SRS804034
SRR1735001,SRS803781
SRR1972842,SRS803932
SRR1735152,SRS803932
SRR1972843,SRS803862
SRR1735080,SRS803862
SRR1735122,SRS803901
SRR1735011,SRS803791
SRR1735221,SRS804002
SRR1735070,SRS803849
SRR1972844,SRS803849
SRR1735210,SRS803990
SRR1972845,SRS803815
SRR1735035,SRS803815
SRR1735073,SRS803852
SRR1735113,SRS803893
SRR1735212,SRS803991
SRR1735250,SRS804029
SRR1972846,SRS804029
SRR1735177,SRS803959
SRR1972847,SRS908578
SRR1735002,SRS803782
SRR1735067,SRS803847
SRR1735076,SRS803855
SRR1735242,SRS804023
SRR1735202,SRS803982
SRR1735224,SRS804004
SRR1972848,SRS908577
SRR1735092,SRS803872
SRR1972849,SRS908576
SRR1972850,SRS908575
SRR1972851,SRS908573
SRR1972852,SRS908574
SRR1972853,SRS908572
SRR1735112,SRS803892
SRR1972854,SRS908571
SRR1972855,SRS908570
